"Sr. No.","TIN","GSTIN/PID","Firm Name","Address","Assessment Circle","Tax Type","Return Form Type","RC Effective Date","Status","Cancellation Date","Type Of Dealer"
"1","33915261259","33AAACS7039L1Z7","TEJASSVI AAHARAM LIMITED","377/2,Na,Vedasandur Tk,Tamil Nadu,624005","DINDIGUL (RURAL) (Circle)","Central Sales Tax","CST FORM NO.1","20/05/2009","Active","-","Normal Dealer"
"2","33915261259","33AAACS7039L1Z7","TEJASSVI AAHARAM LIMITED","377/2,Na,Vedasandur Tk,Tamil Nadu,624005","DINDIGUL (RURAL) (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"1","33280480039","33AAATT0038R1ZA","DAILY THANTHI","86,Na,Chennai,Tamil Nadu,600007","PURASAVAKKAM (Circle)","Central Sales Tax","CST FORM NO.1","25/01/2010","Active","-","Normal Dealer"
"2","33280480039","33AAATT0038R1ZA","DAILY THANTHI","86,Na,Chennai,Tamil Nadu,600007","PURASAVAKKAM (Circle)","Value Added Tax","VAT FORM I","01/01/2007","Active","-","Normal Dealer"
"3","33166257813","33AAKFD6082D1ZM","DAILY DAIRY FOODS","No.4,Plot No601 W Block,6th Street,Annanagar West Extnchennai,Tamil Nadu,600101","KOYAMBEDU (Circle)","Central Sales Tax","CST FORM NO.1","04/10/2014","Active","-","Normal Dealer"
"4","33166257813","33AAKFD6082D1ZM","DAILY DAIRY FOODS","No.4,Plot No601 W Block,6th Street,Annanagar West Extnchennai,Tamil Nadu,600101","KOYAMBEDU (Circle)","Value Added Tax","VAT FORM I","04/10/2014","Active","-","Normal Dealer"
"5","33902662683","33AACCD9166H1ZL","DAILY FRESH FRUITS INDIA PRIVATE LIMITED","4.A,Na,Veerasavarkar Street,Salem,Tamil Nadu,636007","HASTHAMPATTY (Circle)","Central Sales Tax","CST FORM NO.1","09/02/2007","Active","-","Normal Dealer"
"6","33902662683","33AACCD9166H1ZL","DAILY FRESH FRUITS INDIA PRIVATE LIMITED","4.A,Na,Veerasavarkar Street,Salem,Tamil Nadu,636007","HASTHAMPATTY (Circle)","Value Added Tax","VAT FORM I","09/02/2007","Active","-","Normal Dealer"
"7","33616345399","33ERZPS3175N1ZN","DAILY MART","1,Na,Kuniamuthurcoimbatore,Tamil Nadu,641008","KUNIYAMUTHUR (Circle)","Value Added Tax","VAT FORM I,VAT FORM K","20/10/2015","Active","-","Composite Dealer (Section 3(4): Re-seller (Retailer));Normal Dealer"
"8","33276453869","33AAEPK4777G1ZO","KRV DAILY NEEDS","59(27),Purasawalkam High Road,Purasawalkam,Tamil Nadu,Chennai,600007","PURASAVAKKAM (Circle)","Value Added Tax","VAT FORM I","09/02/2017","Active","-","Normal Dealer"
